model,split,cohort,fitted_on,ridge_c,fit_intercept,symmetry_contract,feature_names_json,coefficients_json,n,date_min,date_max,positives,negatives,event_rate,mean_probability,calibration_gap,absolute_calibration_gap,log_loss,brier,auc
tier_offset,diagnostic_2024_plus,major_vs_lower,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit"": 1.078542986370547, ""tier_difference::development"": -0.5240919147994885, ""tier_difference::major"": 0.34512632277777366, ""tier_difference::minor_top_level"": -0.6522488767870084, ""tier_difference::regional"": 0.8312144688087236}",67,2024-05-01,2026-04-08,45,22,0.6716417910447762,0.6069794157676791,-0.06466237527709706,0.06466237527709706,0.534573271728338,0.1812914809029195,0.795959595959596
tier_offset_context_slope,selection_2021_2023,overall,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit_x_context::major_vs_lower"", ""baseline_logit_x_context::known_cross_league"", ""baseline_logit_x_context::development"", ""baseline_logit_x_context::major_major"", ""baseline_logit_x_context::regional_regional"", ""baseline_logit_x_context::other"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit_x_context::development"": 0.8743392909459308, ""baseline_logit_x_context::known_cross_league"": 1.3796944537752207, ""baseline_logit_x_context::major_major"": 1.1440385244239017, ""baseline_logit_x_context::major_vs_lower"": 0.9697660508137375, ""baseline_logit_x_context::other"": 1.2355061385973167, ""baseline_logit_x_context::regional_regional"": 1.0225243868856222, ""tier_difference::development"": -0.4550642923186337, ""tier_difference::major"": 0.37570751410011277, ""tier_difference::minor_top_level"": -0.6787405589067841, ""tier_difference::regional"": 0.7580973371253018}",15008,2021-01-02,2023-11-19,7763,7245,0.5172574626865671,0.5038163295670974,-0.013441133119469706,0.013441133119469706,0.6027431351522352,0.20828098177976745,0.7340870813374161
tier_offset_context_slope,selection_2021_2023,major_major,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit_x_context::major_vs_lower"", ""baseline_logit_x_context::known_cross_league"", ""baseline_logit_x_context::development"", ""baseline_logit_x_context::major_major"", ""baseline_logit_x_context::regional_regional"", ""baseline_logit_x_context::other"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit_x_context::development"": 0.8743392909459308, ""baseline_logit_x_context::known_cross_league"": 1.3796944537752207, ""baseline_logit_x_context::major_major"": 1.1440385244239017, ""baseline_logit_x_context::major_vs_lower"": 0.9697660508137375, ""baseline_logit_x_context::other"": 1.2355061385973167, ""baseline_logit_x_context::regional_regional"": 1.0225243868856222, ""tier_difference::development"": -0.4550642923186337, ""tier_difference::major"": 0.37570751410011277, ""tier_difference::minor_top_level"": -0.6787405589067841, ""tier_difference::regional"": 0.7580973371253018}",2905,2021-01-02,2023-11-19,1493,1412,0.5139414802065404,0.5006398817456881,-0.013301598460852326,0.013301598460852326,0.6049690527965497,0.2087876769928788,0.733811611884735
tier_offset_context_slope,selection_2021_2023,regional_regional,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit_x_context::major_vs_lower"", ""baseline_logit_x_context::known_cross_league"", ""baseline_logit_x_context::development"", ""baseline_logit_x_context::major_major"", ""baseline_logit_x_context::regional_regional"", ""baseline_logit_x_context::other"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit_x_context::development"": 0.8743392909459308, ""baseline_logit_x_context::known_cross_league"": 1.3796944537752207, ""baseline_logit_x_context::major_major"": 1.1440385244239017, ""baseline_logit_x_context::major_vs_lower"": 0.9697660508137375, ""baseline_logit_x_context::other"": 1.2355061385973167, ""baseline_logit_x_context::regional_regional"": 1.0225243868856222, ""tier_difference::development"": -0.4550642923186337, ""tier_difference::major"": 0.37570751410011277, ""tier_difference::minor_top_level"": -0.6787405589067841, ""tier_difference::regional"": 0.7580973371253018}",5807,2021-01-14,2023-09-22,3024,2783,0.520750817978302,0.5016078690092465,-0.01914294896905555,0.01914294896905555,0.6137508677623162,0.21256136977539508,0.7235563212588905
tier_offset_context_slope,selection_2021_2023,development,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit_x_context::major_vs_lower"", ""baseline_logit_x_context::known_cross_league"", ""baseline_logit_x_context::development"", ""baseline_logit_x_context::major_major"", ""baseline_logit_x_context::regional_regional"", ""baseline_logit_x_context::other"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit_x_context::development"": 0.8743392909459308, ""baseline_logit_x_context::known_cross_league"": 1.3796944537752207, ""baseline_logit_x_context::major_major"": 1.1440385244239017, ""baseline_logit_x_context::major_vs_lower"": 0.9697660508137375, ""baseline_logit_x_context::other"": 1.2355061385973167, ""baseline_logit_x_context::regional_regional"": 1.0225243868856222, ""tier_difference::development"": -0.4550642923186337, ""tier_difference::major"": 0.37570751410011277, ""tier_difference::minor_top_level"": -0.6787405589067841, ""tier_difference::regional"": 0.7580973371253018}",2980,2021-01-19,2023-09-19,1552,1428,0.5208053691275167,0.5055432181982471,-0.015262150929269636,0.015262150929269636,0.6364881689828603,0.22338587089640793,0.6839169301741315
tier_offset_context_slope,selection_2021_2023,known_cross_league,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit_x_context::major_vs_lower"", ""baseline_logit_x_context::known_cross_league"", ""baseline_logit_x_context::development"", ""baseline_logit_x_context::major_major"", ""baseline_logit_x_context::regional_regional"", ""baseline_logit_x_context::other"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit_x_context::development"": 0.8743392909459308, ""baseline_logit_x_context::known_cross_league"": 1.3796944537752207, ""baseline_logit_x_context::major_major"": 1.1440385244239017, ""baseline_logit_x_context::major_vs_lower"": 0.9697660508137375, ""baseline_logit_x_context::other"": 1.2355061385973167, ""baseline_logit_x_context::regional_regional"": 1.0225243868856222, ""tier_difference::development"": -0.4550642923186337, ""tier_difference::major"": 0.37570751410011277, ""tier_difference::minor_top_level"": -0.6787405589067841, ""tier_difference::regional"": 0.7580973371253018}",1062,2021-03-29,2023-11-19,550,512,0.5178907721280602,0.5022646944353732,-0.01562607769268698,0.01562607769268698,0.5902515242276528,0.20294577634922945,0.7493306107954546
tier_offset_context_slope,selection_2021_2023,major_vs_lower,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit_x_context::major_vs_lower"", ""baseline_logit_x_context::known_cross_league"", ""baseline_logit_x_context::development"", ""baseline_logit_x_context::major_major"", ""baseline_logit_x_context::regional_regional"", ""baseline_logit_x_context::other"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit_x_context::development"": 0.8743392909459308, ""baseline_logit_x_context::known_cross_league"": 1.3796944537752207, ""baseline_logit_x_context::major_major"": 1.1440385244239017, ""baseline_logit_x_context::major_vs_lower"": 0.9697660508137375, ""baseline_logit_x_context::other"": 1.2355061385973167, ""baseline_logit_x_context::regional_regional"": 1.0225243868856222, ""tier_difference::development"": -0.4550642923186337, ""tier_difference::major"": 0.37570751410011277, ""tier_difference::minor_top_level"": -0.6787405589067841, ""tier_difference::regional"": 0.7580973371253018}",149,2021-03-01,2023-10-27,79,70,0.5302013422818792,0.4956201540161776,-0.03458118826570161,0.03458118826570161,0.38313264045190715,0.11502588456388996,0.9007233273056058
tier_offset_context_slope,diagnostic_2024_plus,overall,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit_x_context::major_vs_lower"", ""baseline_logit_x_context::known_cross_league"", ""baseline_logit_x_context::development"", ""baseline_logit_x_context::major_major"", ""baseline_logit_x_context::regional_regional"", ""baseline_logit_x_context::other"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit_x_context::development"": 0.8743392909459308, ""baseline_logit_x_context::known_cross_league"": 1.3796944537752207, ""baseline_logit_x_context::major_major"": 1.1440385244239017, ""baseline_logit_x_context::major_vs_lower"": 0.9697660508137375, ""baseline_logit_x_context::other"": 1.2355061385973167, ""baseline_logit_x_context::regional_regional"": 1.0225243868856222, ""tier_difference::development"": -0.4550642923186337, ""tier_difference::major"": 0.37570751410011277, ""tier_difference::minor_top_level"": -0.6787405589067841, ""tier_difference::regional"": 0.7580973371253018}",9796,2024-01-03,2026-05-28,5273,4523,0.5382809309922417,0.5135032980901197,-0.024777632902121982,0.024777632902121982,0.576206322249382,0.19657349516212963,0.7687401841333624
tier_offset_context_slope,diagnostic_2024_plus,major_major,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit_x_context::major_vs_lower"", ""baseline_logit_x_context::known_cross_league"", ""baseline_logit_x_context::development"", ""baseline_logit_x_context::major_major"", ""baseline_logit_x_context::regional_regional"", ""baseline_logit_x_context::other"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit_x_context::development"": 0.8743392909459308, ""baseline_logit_x_context::known_cross_league"": 1.3796944537752207, ""baseline_logit_x_context::major_major"": 1.1440385244239017, ""baseline_logit_x_context::major_vs_lower"": 0.9697660508137375, ""baseline_logit_x_context::other"": 1.2355061385973167, ""baseline_logit_x_context::regional_regional"": 1.0225243868856222, ""tier_difference::development"": -0.4550642923186337, ""tier_difference::major"": 0.37570751410011277, ""tier_difference::minor_top_level"": -0.6787405589067841, ""tier_difference::regional"": 0.7580973371253018}",2158,2024-01-03,2026-05-10,1143,1015,0.5296570898980537,0.5138300700725968,-0.015827019825456867,0.015827019825456867,0.5760133456284243,0.19653684386915443,0.7667558796529743
tier_offset_context_slope,diagnostic_2024_plus,regional_regional,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit_x_context::major_vs_lower"", ""baseline_logit_x_context::known_cross_league"", ""baseline_logit_x_context::development"", ""baseline_logit_x_context::major_major"", ""baseline_logit_x_context::regional_regional"", ""baseline_logit_x_context::other"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit_x_context::development"": 0.8743392909459308, ""baseline_logit_x_context::known_cross_league"": 1.3796944537752207, ""baseline_logit_x_context::major_major"": 1.1440385244239017, ""baseline_logit_x_context::major_vs_lower"": 0.9697660508137375, ""baseline_logit_x_context::other"": 1.2355061385973167, ""baseline_logit_x_context::regional_regional"": 1.0225243868856222, ""tier_difference::development"": -0.4550642923186337, ""tier_difference::major"": 0.37570751410011277, ""tier_difference::minor_top_level"": -0.6787405589067841, ""tier_difference::regional"": 0.7580973371253018}",4348,2024-01-17,2026-05-28,2384,1964,0.5482980680772769,0.5133885717522394,-0.03490949632503748,0.03490949632503748,0.5733359768978872,0.1951025179911784,0.7747636996131713
