canonical_match_id,golgg_match_id,team_a_name,team_b_name,winner_side,start_time_normalized,status,market_open_p_a_novig,market_open_p_a_raw,market_open_avg_margin,market_open_books,market_mid_p_a_novig,market_mid_p_a_raw,market_mid_avg_margin,market_mid_books,market_close_p_a_novig,market_close_p_a_raw,market_close_avg_margin,market_close_books
144663,80235,T1,Nongshim RedForce,team_b,2026-07-27T09:45:00+00:00,finished,0.5558816429703386,0.6061469223156855,0.09030934430750419,6.0,0.5786301277290934,0.6318075334151743,0.091411587975892,6.0,0.7152651995678552,0.7811067007111981,0.09201676445607183,6.0
104267,79726,Kits Esports,Zeu5 Esports ,team_b,2026-07-11T22:00:00+00:00,finished,0.18982428735874388,0.20690622266209072,0.0901283422972538,4.0,0.19314173714461758,0.21045441899562117,0.08996044795817187,4.0,0.20182359110194212,0.2199949049546018,0.08979295007123761,4.0
144675,80303,Fuego,Kits Esports,team_a,2026-07-27T23:00:00+00:00,finished,0.8759198694176322,0.9594051687953469,0.09527686309701437,3.0,0.8899563175729209,0.9740465765594264,0.09448828174689423,3.0,0.8946542757072908,0.9772821942388413,0.09233580551184217,3.0
144685,80292,Estral E-Sports,Keyd Stars Academy,team_a,2026-07-28T00:00:00+00:00,finished,0.7822467340426669,0.8554820872483997,0.09353935162145355,4.0,0.7822467340426669,0.8554820872483997,0.09353935162145355,4.0,0.7359667327622962,0.8032520325203252,0.09150471207735256,4.0
144662,80236,HANJIN BRION,Dplus KIA,team_a,2026-07-27T10:30:00+00:00,finished,0.6623392870306163,0.7237939077037776,0.09286520575535984,6.0,0.6623392870306163,0.7237939077037776,0.09286520575535984,6.0,0.6571723351774889,0.7178335361272534,0.09239041722345469,6.0
100727,79712,SDM Tigres,LYON Academy,team_a,2026-07-05T22:00:00+00:00,finished,0.7255032431326504,0.7916335978835978,0.0912195249841649,3.0,0.7351014489333879,0.8022196412440316,0.09128709791051626,3.0,0.7351014489333879,0.8022196412440316,0.09128709791051626,3.0
94,79033,Eintracht Spandau,G2 Nord,team_b,2026-05-31T22:02:00+00:00,finished,0.450402144772118,0.48780487804878053,0.08304297328687582,1.0,0.450402144772118,0.48780487804878053,0.08304297328687582,1.0,0.450402144772118,0.48780487804878053,0.08304297328687582,1.0
112293,79806,Maze,Docta Esports,team_a,2026-07-10T23:00:00+00:00,finished,0.6932514814999647,0.7564154865951248,0.09117761460619793,3.0,0.6907702420906207,0.7529648309705562,0.09005633238018507,3.0,0.6592783009241322,0.7179350613484831,0.08890211338079634,3.0
104272,79787,Seven Dark,Golden Lions,team_b,2026-07-09T23:00:00+00:00,finished,0.1910834469139581,0.20846909959813187,0.09083726189177159,3.0,0.1910834469139581,0.20846909959813187,0.09083726189177159,3.0,0.1910834469139581,0.20846909959813187,0.09083726189177159,3.0
144752,80633,DN SOOPers,HANJIN BRION,team_a,2026-07-28T10:30:00+00:00,finished,0.2648985510666121,0.28906745666648476,0.09128709791051626,3.0,0.27089287646317467,0.2958352080594174,0.09200744914206638,3.0,0.2865971238064261,0.3124615915802275,0.08995377532241126,3.0
63448,79494,Team Liquid,LYON,team_b,2026-06-14T20:00:00+00:00,finished,0.42707191738210776,0.4631028656407039,0.08442686512926034,3.0,0.46160064533631373,0.5010113927965429,0.08515396156662451,3.0,0.45512260006216776,0.49431644367160965,0.0861283900999048,3.0
144753,80630,Kiwoom DRX,KT Rolster,team_a,2026-07-28T08:00:00+00:00,finished,0.30383628194287954,0.3338369190259234,0.09841794523485653,4.0,0.28999176510040015,0.31866611587779803,0.09842590880339158,4.0,0.27635945505356313,0.3037253266611065,0.09926720588579163,4.0
144765,80297,Red Academy,Rmd Gaming,team_a,2026-07-29T00:00:00+00:00,finished,0.328932046670356,0.35778289810547875,0.08770990540474888,2.0,0.30310348100264684,0.329497340136793,0.08707309771255067,2.0,0.2735150019167298,0.2976216838655388,0.0881478680925103,2.0
85789,79539,Team Liquid,Deep Cross Gaming,team_a,2026-06-29T08:00:00+00:00,finished,0.8090558452578523,0.880731620904171,0.08868645116627627,6.0,0.8119376903389349,0.8829243956151774,0.08745857007167206,6.0,0.8076600065046394,0.8776882699296493,0.08670352339715044,6.0
144661,80237,T1,DN SOOPers,team_a,2026-07-27T11:15:00+00:00,finished,0.5443433164968151,0.5938708974205781,0.09063303476555414,6.0,0.5821324834741035,0.6356315228694812,0.09119130610156467,6.0,0.7516757930550311,0.8217655297826144,0.0931569375189653,6.0
144681,80288,Red Academy,7Rex Team,team_b,2026-07-27T20:00:00+00:00,finished,0.26057244393664364,0.2840285750733512,0.09120501312644858,4.0,0.26535950646609774,0.2889125799573561,0.09007940262583802,4.0,0.22014154129812186,0.2402773689202891,0.09179808069982626,4.0
144689,80391,UCAM Esports Club,Universitat de Barcelona,team_a,2026-07-28T15:00:00+00:00,finished,0.9159787241558988,0.9900990099009901,0.0809642779097216,4.0,0.9159787241558988,0.9900990099009901,0.0809642779097216,4.0,0.9159787241558988,0.9900990099009901,0.0809642779097216,4.0
144684,80291,INTZ eSports,Rmd Gaming,team_a,2026-07-27T23:00:00+00:00,finished,0.8274790366614664,0.9049959049959049,0.09367515027892381,2.0,0.8274790366614664,0.9049959049959049,0.09367515027892381,2.0,0.788758581235698,0.8583849101090482,0.08826996758031247,2.0
144716,80355,Ccg Esports,Ole Miss eSports,team_b,2026-07-29T21:00:00+00:00,finished,0.5609139784946237,0.6097903150748679,0.08712547991003272,4.0,0.5609139784946237,0.6097903150748679,0.08712547991003272,4.0,0.5057718295790888,0.5509850950707756,0.08942489756039845,4.0
144702,80489,Galions,Karmine Corp Blue,team_b,2026-07-28T18:00:00+00:00,finished,0.632540231146192,0.6878241878241879,0.08745926189238196,6.0,0.6349326797085477,0.6901541039472074,0.08701140023762373,6.0,0.7016255765560498,0.7614607614607615,0.08532004249360188,6.0
104269,79717,3v Team,SDM Tigers,team_a,2026-07-11T19:00:00+00:00,finished,0.4299513413813225,0.46718102370368964,0.08642395258159691,4.0,0.4342146717428024,0.47121462892703236,0.08519032494795392,4.0,0.45085950139245595,0.48994976028215065,0.08651623775033096,4.0
79,79122,JD Gaming,TOP Esports,team_b,2026-06-01T09:00:00+00:00,finished,0.5313461074667876,0.5758052201478343,0.08364679377888157,4.0,0.5313461074667876,0.5758052201478343,0.08364679377888157,4.0,0.5299591404167141,0.5733135257956747,0.08178324013023963,4.0
254,79142,Forsaken,BOMBA Team,team_a,2026-06-01T02:02:00+00:00,finished,0.43421052631578944,0.46511627906976744,0.07117688513037357,1.0,0.43421052631578944,0.46511627906976744,0.07117688513037357,1.0,0.43421052631578944,0.46511627906976744,0.07117688513037357,1.0
88240,79547,E Wie Einfach E-Sports,Berlin International Gaming,team_b,2026-06-30T15:00:00+00:00,finished,0.37545152945387533,0.40712880193399675,0.08433662199895964,3.0,0.3765036976719533,0.40712880193399675,0.08133361899595659,3.0,0.3460147208496576,0.37447921035707293,0.08231678093348697,3.0
112295,79800,Volticons,Golden Lions,team_b,2026-07-10T20:00:00+00:00,finished,0.619184612855499,0.6734083076364956,0.08763080429184189,2.0,0.619184612855499,0.6734083076364956,0.08763080429184189,2.0,0.6007257383966245,0.6520261660011893,0.08569294506529346,2.0
114443,79792,Hanwha Life,LYON,team_a,2026-07-11T08:00:00+00:00,finished,0.8902433225802862,0.9674284263935096,0.0869008462682285,5.0,0.8887373751793186,0.965631481200338,0.08673917056746924,5.0,0.8795558714117359,0.9533417936075249,0.08414201072506762,5.0
144766,80298,Ei Nerd,INTZ,team_a,2026-07-29T20:00:00+00:00,finished,0.3350020216225033,0.36511413798124215,0.08980849049216089,4.0,0.34320858270665927,0.3746453704126421,0.09157494391932386,4.0,0.34216300401085864,0.3735732985981248,0.09176933613722804,4.0
144673,80231,Dplus KIA,Hanwha Life Esports,team_b,2026-07-27T06:45:00+00:00,finished,0.38735013450920214,0.4227536203693192,0.0911955588031254,6.0,0.41541450731919854,0.45277937100051374,0.08993716378624957,6.0,0.3836184574077099,0.41816838461854017,0.09005282062400237,6.0
144656,80561,Nongshim Redforce Challengers,T1 Esports Academy,team_b,2026-07-27T08:00:00+00:00,finished,0.5554533230259068,0.6034977463548893,0.08581138911156994,3.0,0.37709433109667695,0.4100347311920549,0.08724255125701778,3.0,0.358884892390047,0.38988491348939175,0.08612585117902156,3.0
548,79245,Ruddy eSports,Verdant,team_b,2026-06-05T16:00:00+00:00,finished,0.22857142857142856,0.2469135802469136,0.08024691358024705,1.0,0.22857142857142856,0.2469135802469136,0.08024691358024705,1.0,0.22857142857142856,0.2469135802469136,0.08024691358024705,1.0
66965,79432,Eintracht Spandau,Anubis Gaming,team_a,2026-06-12T15:00:00+00:00,finished,0.829356835081436,0.9042939327911318,0.09046180261477255,5.0,0.8330151736433834,0.9079015557387902,0.09004733053630062,5.0,0.7150470126992723,0.7798681686528315,0.09087780985672098,5.0
62960,79479,T1,Gen.g,team_a,2026-06-14T06:00:00+00:00,finished,0.3589869120131958,0.3896521226415094,0.08549524552301818,4.0,0.3429550279840743,0.37221751247701507,0.08540083223744305,4.0,0.3013965814086833,0.32727324286469206,0.08572021805404229,4.0
91643,79618,Bilibili,T1,team_a,2026-07-04T08:00:00+00:00,finished,0.45661324098578226,0.4950922459085904,0.0843209731261994,4.0,0.46265482581244916,0.5013822885164889,0.08365728349571983,4.0,0.43352138467532286,0.4703889813135354,0.08491414487325183,4.0
96583,79626,Maze Gaming,9Z Team,team_b,2026-07-03T20:00:00+00:00,finished,0.4414893617021276,0.47619047619047616,0.07860011474469308,1.0,0.4414893617021276,0.47619047619047616,0.07860011474469308,1.0,0.4414893617021276,0.47619047619047616,0.07860011474469308,1.0
66795,79523,Top Esports,Bilibili Gaming,team_b,2026-06-15T08:00:00+00:00,finished,0.31789473603323676,0.34310171043023024,0.07901964851351184,4.0,0.3189986264856458,0.3446248985665572,0.08004007885303982,4.0,0.32329245491992886,0.3495716594850807,0.08103887151969708,4.0
112294,79797,Malvinas,Seven Dark,team_b,2026-07-10T20:00:00+00:00,finished,0.821664352593281,0.8955383955383954,0.08992852056115086,3.0,0.821664352593281,0.8955383955383954,0.08992852056115086,3.0,0.8144510676944746,0.8876357560568087,0.08996238901607205,3.0
144767,80299,Kabum Idl,Rmd Gaming,team_b,2026-07-29T21:00:00+00:00,finished,0.7285113134657837,0.790625,0.08531622426868912,2.0,0.7125240230621397,0.7782218992248062,0.09220060584941181,2.0,0.7164974245768948,0.78125,0.09037565695174388,2.0
