canonical_match_id,golgg_match_id,team_a_name,team_b_name,winner_side,start_time_normalized,status,market_open_p_a_novig,market_open_p_a_raw,market_open_avg_margin,market_open_books,market_mid_p_a_novig,market_mid_p_a_raw,market_mid_avg_margin,market_mid_books,market_close_p_a_novig,market_close_p_a_raw,market_close_avg_margin,market_close_books,date,team1_id,team2_id,team1_name,team2_name,best_of,n_games,y_team1,exp039_original_prob_team1,exp039_swapped_prob_team1,exp039_symmetric_prob_team1,exp039_calibrated_prob_team1,y_team_a,canonical_a_is_golgg_team1,exp039_prob_team_a
130105,79926,Bilibili Gaming,T1,team_a,2026-07-16T09:00:00+00:00,finished,0.5049766987581674,0.547265187299687,0.0836033589319762,5.0,0.5263000008201898,0.5704717987326683,0.08377138827981848,5.0,0.5135275416720417,0.5570454634259047,0.0843974942137129,5.0,2026-07-16,2809,2849,T1,Bilibili Gaming,1,1,0,0.49277607492235964,0.584999135826555,0.4538884695479023,0.4679504228858513,1,False,0.5320495771141487
117825,79827,ROSSMANN Centaurs,TeamOrangeGaming,team_b,2026-07-13T17:00:00+00:00,finished,0.5799246125924892,0.6289556962025316,0.08453892575836397,2.0,0.5696345421193736,0.6173780487804879,0.08388522581398061,2.0,0.4464150943396227,0.48440065681444994,0.08505000746380054,2.0,2026-07-13,2971,2972,ROSSMANN Centaurs,TeamOrangeGaming,1,1,0,0.4421794304328722,0.5938596626883959,0.4241598838722382,0.43441564611100814,0,True,0.43441564611100814
133063,79959,Gen.G,JD Gaming,team_a,2026-07-17T13:30:00+00:00,finished,0.8372590655486848,0.905663524961698,0.08167462134009346,4.0,0.8301223230841394,0.8991845828129014,0.08310637970763113,4.0,0.81287517559703,0.8793060795349126,0.08186240495417618,4.0,2026-07-17,2804,2851,Gen.G,JD Gaming,3,2,1,0.7917739343223839,0.2619422491853246,0.7649158425685296,0.8026551597121291,1,True,0.8026551597121291
108,79147,Dplus KIA,HANJIN BRION,team_a,2026-06-06T08:00:00+00:00,finished,0.7279707792207791,0.7888849135360763,0.08374614125360588,5.0,0.7162179956772394,0.7743439356342583,0.08107955090603389,5.0,0.7499320975803673,0.8101999011089921,0.0801123353214392,5.0,2026-06-06,2802,2808,Dplus KIA,HANJIN BRION,5,3,1,0.7919760211011254,0.2495506298681173,0.7712126956165041,0.8088624501337566,1,True,0.8088624501337566
13,78899,Nongshim RedForce,Dplus,team_b,2026-05-31T10:00:00+00:00,finished,0.34052418998047723,0.36930563161924906,0.08452096514574466,6.0,0.3398174757086976,0.36814094491997107,0.08337981233275164,6.0,0.3771909950063254,0.408163577372076,0.0821958084358229,6.0,2026-05-31,2807,2802,Nongshim RedForce,Dplus KIA,3,2,0,0.329497142980403,0.7360956111088451,0.29670076593577893,0.2912725998231598,0,True,0.2912725998231598
61,79112,ThunderTalk Gaming,LGD Gaming,team_b,2026-06-02T09:00:00+00:00,finished,0.5482460067934668,0.5945326191083691,0.08444558958897964,7.0,0.5607258057515109,0.6073389175284101,0.0831080188740551,7.0,0.5265327506209482,0.5701292715156457,0.08276709626226762,7.0,2026-06-02,2857,2858,ThunderTalk Gaming,LGD Gaming,5,5,0,0.5895911001832218,0.45700475693895626,0.5662931716221328,0.5935029756476171,0,True,0.5935029756476171
436,79250,Barca,Movistar KOI Fenix,team_b,2026-06-05T13:00:00+00:00,finished,0.37391205285942125,0.40782085783580846,0.09048628188054286,2.0,0.35207463102199943,0.38411631130378365,0.09126273809039043,2.0,0.33544214070529854,0.36583734617442487,0.09047502733384527,2.0,2026-06-05,2995,2990,Movistar KOI Fenix,Barca eSports,3,3,1,0.6864774265247325,0.3876505935389605,0.649413416492886,0.6837073963822086,0,False,0.31629260361779143
126,79275,Hanwha Life,T1,team_a,2026-06-12T08:00:00+00:00,finished,0.5152119332447203,0.5590885002649709,0.08502689838382013,5.0,0.4940860215053764,0.535737276854028,0.08423742535417648,5.0,0.49308510638297876,0.5325606853262691,0.07990459737606348,5.0,2026-06-12,2805,2809,Hanwha Life Esports,T1,5,4,1,0.44761958129986434,0.6270062789432413,0.4103066511783115,0.4187786210639164,1,True,0.4187786210639164
18,78812,GAM,Deep Cross,team_b,2026-05-30T09:00:00+00:00,finished,0.615999937561046,0.6696460816179125,0.0872739666299629,4.0,0.616210120251526,0.6700680272108843,0.08747854663471671,4.0,0.6146401267101427,0.667875044754744,0.08669724916577715,4.0,2026-05-30,2883,2882,Deep Cross Gaming,GAM Esports,5,4,1,0.47538597134411054,0.5824626372617382,0.44646166704118617,0.45957795527637985,0,False,0.5404220447236201
11,78890,KT Rolster,SOOPers,team_a,2026-05-30T08:00:00+00:00,finished,0.8631682182598218,0.9372884777197444,0.08591905366772681,7.0,0.8634477092136313,0.9372884777197444,0.08556474527770412,7.0,0.8712080249303603,0.9448265013394167,0.08455958840282417,7.0,2026-05-30,2806,2801,KT Rolster,DN SOOPers,3,2,1,0.8365208530301769,0.19659034675411147,0.8199652531380327,0.8557340983995724,1,True,0.8557340983995724
