alpha,T,auc,brier,log_loss,accuracy,n_bets,roi,profit,win_rate
0.3,3.0,0.751736774950422,0.221055543767824,0.6341899207252165,0.6707317073170732,588,0.19397959183673466,114.05999999999999,0.33843537414965985
0.35,0.5,0.754221504076573,0.21201901935239825,0.6177157074874405,0.670150987224158,637,0.21097331240188386,134.39000000000001,0.7111459968602826
0.35,0.6,0.754221504076573,0.20577006890480928,0.5957319432410405,0.670150987224158,386,0.39963730569948186,154.26,0.6968911917098446
0.35,0.7,0.754221504076573,0.20221945478848283,0.5856128651002173,0.670150987224158,176,0.8611363636363637,151.56,0.625
0.35,0.8,0.754221504076573,0.20045380735001525,0.5817656856857958,0.670150987224158,127,1.1806299212598428,149.94000000000003,0.5511811023622047
0.35,0.9,0.754221504076573,0.1998604389827653,0.5813503824138838,0.670150987224158,145,0.8995862068965517,130.44,0.45517241379310347
0.35,1.0,0.754221504076573,0.20003006948593,0.5828358063840097,0.670150987224158,177,0.7294350282485876,129.11,0.4124293785310734
0.35,1.1,0.754221504076573,0.20068935891318893,0.5853619610297824,0.670150987224158,243,0.5454320987654321,132.54,0.37448559670781895
0.35,1.2,0.754221504076573,0.20165550269827162,0.5884317069850119,0.670150987224158,318,0.434811320754717,138.27,0.3490566037735849
0.35,1.3,0.754221504076573,0.20280606629233588,0.5917522348602401,0.670150987224158,390,0.3357948717948717,130.95999999999998,0.3333333333333333
0.35,1.5,0.754221504076573,0.20535950515459211,0.5985203182481414,0.670150987224158,461,0.2741431670281996,126.38,0.3318872017353579
0.35,1.7,0.754221504076573,0.2079695935057378,0.6049679683032999,0.670150987224158,504,0.23640873015873015,119.14999999999999,0.32936507936507936
0.35,2.0,0.754221504076573,0.2116596134266776,0.6136093477605268,0.670150987224158,534,0.19926966292134832,106.41,0.32397003745318353
0.35,2.5,0.754221504076573,0.2168895420735128,0.6252623827301197,0.670150987224158,570,0.18689473684210525,106.53,0.3298245614035088
0.35,3.0,0.754221504076573,0.22103371360251078,0.6341713905716828,0.670150987224158,587,0.19206132879045995,112.74,0.3373083475298126
0.4,0.5,0.7559702709629319,0.21024852839489386,0.6134579013247431,0.6666666666666666,638,0.2161598746081505,137.91000000000003,0.7021943573667712
0.4,0.6,0.7559702709629319,0.20434917446621417,0.592635119932125,0.6666666666666666,407,0.372923832923833,151.78000000000003,0.683046683046683
0.4,0.7,0.7559702709629319,0.20107353826966254,0.5832938935710049,0.6666666666666666,209,0.7560287081339713,158.01,0.6363636363636364
0.4,0.8,0.7559702709629319,0.19952499257337733,0.5799902679983521,0.6666666666666666,147,1.0057823129251702,147.85000000000002,0.5374149659863946
0.4,0.9,0.7559702709629319,0.19910370274296632,0.579967237930615,0.6666666666666666,172,0.8095348837209303,139.24,0.45348837209302323
0.4,1.0,0.7559702709629319,0.1994103441987499,0.581743161059319,0.6666666666666666,192,0.6691145833333335,128.47000000000003,0.4114583333333333
0.4,1.1,0.7559702709629319,0.20017931236331737,0.5844891125944272,0.6666666666666666,259,0.5356370656370656,138.73,0.38223938223938225
0.4,1.2,0.7559702709629319,0.20123379293570004,0.5877282260084181,0.6666666666666666,321,0.4395327102803738,141.08999999999997,0.3582554517133956
0.4,1.3,0.7559702709629319,0.20245597242090077,0.5911813376874699,0.6666666666666666,390,0.37051282051282053,144.5,0.3487179487179487
0.4,1.5,0.7559702709629319,0.2051158972375868,0.5981391833461949,0.6666666666666666,463,0.26155507559395247,121.1,0.3304535637149028
0.4,1.7,0.7559702709629319,0.20779878736572896,0.60471174434686,0.6666666666666666,508,0.23907480314960627,121.44999999999999,0.33267716535433073
0.4,2.0,0.7559702709629319,0.2115595758134652,0.6134709063464142,0.6666666666666666,536,0.1985820895522388,106.44,0.3246268656716418
0.4,2.5,0.7559702709629319,0.21685283594250385,0.6252261376813593,0.6666666666666666,572,0.19045454545454546,108.94,0.3321678321678322
0.4,3.0,0.7559702709629319,0.22102799102055895,0.6341836787840134,0.6666666666666666,585,0.19223931623931625,112.46000000000001,0.3367521367521368
0.45,0.5,0.7574010802335891,0.2087402013333789,0.6102482460393409,0.664924506387921,636,0.2200943396226415,139.98,0.6981132075471698
0.45,0.6,0.7574010802335891,0.20316506792083314,0.5903102199564129,0.664924506387921,416,0.3785576923076924,157.48000000000002,0.6875
0.45,0.7,0.7574010802335891,0.20013377718664457,0.5815644449423183,0.664924506387921,244,0.6406147540983607,156.31,0.6270491803278688
0.45,0.8,0.7574010802335891,0.19877354668287198,0.5786776636586105,0.664924506387921,177,0.7736158192090395,136.93,0.5028248587570622
0.45,0.9,0.7574010802335891,0.19849917808406897,0.5789554275102883,0.664924506387921,188,0.765,143.82,0.46808510638297873
0.45,1.0,0.7574010802335891,0.1989214284701512,0.5809537734285058,0.664924506387921,215,0.6365581395348838,136.86,0.42790697674418604
0.45,1.1,0.7574010802335891,0.19978205099227292,0.5838675999568764,0.664924506387921,269,0.5112267657992564,137.51999999999998,0.3828996282527881
0.45,1.2,0.7574010802335891,0.20090972881064334,0.5872356609475436,0.664924506387921,332,0.4298493975903614,142.70999999999998,0.3644578313253012
0.45,1.3,0.7574010802335891,0.2021907946265791,0.5907893388696038,0.664924506387921,388,0.37902061855670105,147.06,0.35309278350515466
0.45,1.5,0.7574010802335891,0.2049373807941672,0.5978902280571923,0.664924506387921,462,0.2685930735930736,124.09,0.3333333333333333
0.45,1.7,0.7574010802335891,0.2076787340310014,0.6045560224937668,0.664924506387921,509,0.23889980353634577,121.6,0.33398821218074654
0.45,2.0,0.7574010802335891,0.21149547552672956,0.6134018784135644,0.664924506387921,539,0.19933209647495362,107.44,0.32653061224489793
0.45,2.5,0.7574010802335891,0.21683758085820773,0.6252303410488371,0.664924506387921,576,0.18949652777777776,109.14999999999999,0.3333333333333333
