alpha,T,auc,brier,log_loss,accuracy,n_bets,roi,profit,win_rate
0.05,1.0,0.7367091660876275,0.20635850818628637,0.5979265291776718,0.6753774680603949,26,4.105,106.73,0.6923076923076923
0.05,1.1,0.7367091660876275,0.20615143313676199,0.5977704250169958,0.6753774680603949,130,0.8203846153846154,106.65,0.3076923076923077
0.05,1.2,0.7367091660876275,0.20637298042094127,0.5987404083570871,0.6753774680603949,269,0.43840148698884757,117.92999999999999,0.2899628252788104
0.05,1.3,0.7367091660876275,0.20688701996569114,0.6003926269517389,0.6753774680603949,353,0.2711048158640227,95.70000000000002,0.2776203966005666
0.05,1.5,0.7367091660876275,0.20843364366827807,0.6047241161084451,0.6753774680603949,440,0.24445454545454545,107.56,0.30454545454545456
0.05,1.7,0.7367091660876275,0.21030724039456683,0.6095243872525801,0.6753774680603949,488,0.1989549180327869,97.09,0.305327868852459
0.05,2.0,0.7367091660876275,0.21323386622243296,0.61656227371051,0.6753774680603949,539,0.21476808905380337,115.76000000000002,0.3302411873840445
0.05,2.5,0.7367091660876275,0.21772336847869211,0.6267502982175029,0.6753774680603949,576,0.19256944444444446,110.92,0.3333333333333333
0.05,3.0,0.7367091660876275,0.22147055746526784,0.634907912975197,0.6753774680603949,591,0.18499153976311336,109.33,0.3350253807106599
0.1,0.5,0.739950415058034,0.2218890669381293,0.6557451202765731,0.6765389082462253,645,-0.05382945736434108,-34.72,0.7255813953488373
0.1,0.6,0.739950415058034,0.21459511266077322,0.6239825565113325,0.6765389082462253,324,-0.026141975308641978,-8.47,0.75
0.1,0.7,0.739950415058034,0.20990860607873035,0.6071567377049367,0.6765389082462253,3,-0.12999999999999998,-0.3899999999999999,0.6666666666666666
0.1,0.8,0.739950415058034,0.20705964057757584,0.5985302088484956,0.6765389082462253,12,7.022500000000001,84.27000000000001,1.0
0.1,0.9,0.739950415058034,0.20549447009269106,0.5946091469667094,0.6765389082462253,32,3.9109375,125.15,0.75
0.1,1.0,0.739950415058034,0.20481958360264824,0.5934620715592204,0.6765389082462253,62,2.0233870967741936,125.45,0.532258064516129
0.1,1.1,0.739950415058034,0.20475718115031732,0.5939722214385073,0.6765389082462253,160,0.7874375,125.99000000000001,0.34375
0.1,1.2,0.739950415058034,0.2051117569266227,0.5954718242645461,0.6765389082462253,289,0.43595155709342565,125.99000000000001,0.3044982698961938
0.1,1.3,0.739950415058034,0.20574586570744163,0.5975513777758497,0.6765389082462253,364,0.2903846153846154,105.7,0.29120879120879123
0.1,1.5,0.739950415058034,0.20749491376448773,0.6025212881188154,0.6765389082462253,453,0.26211920529801325,118.74000000000001,0.31788079470198677
0.1,1.7,0.739950415058034,0.20952741819462728,0.6077671699669998,0.6765389082462253,499,0.2200200400801603,109.78999999999999,0.3186372745490982
0.1,2.0,0.739950415058034,0.212630796417854,0.6152564715711952,0.6765389082462253,541,0.19669131238447324,106.41000000000003,0.3234750462107209
0.1,2.5,0.739950415058034,0.21730874958372448,0.6258849979560915,0.6765389082462253,579,0.19008635578583766,110.06,0.3333333333333333
0.1,3.0,0.739950415058034,0.22116899334340193,0.634290432533288,0.6765389082462253,590,0.1832372881355932,108.10999999999999,0.3338983050847458
0.15,0.5,0.7431382142568357,0.2196968252435491,0.6447545454949968,0.6724738675958188,612,-0.03316993464052286,-20.299999999999994,0.738562091503268
0.15,0.6,0.7431382142568357,0.21249559991235087,0.6155757865209055,0.6724738675958188,319,0.05639498432601882,17.990000000000002,0.7492163009404389
0.15,0.7,0.7431382142568357,0.20796832992505326,0.6005351903126271,0.6724738675958188,28,3.6689285714285718,102.73,0.8928571428571429
0.15,0.8,0.7431382142568357,0.20530207641399414,0.593191866297999,0.6724738675958188,38,3.7007894736842104,140.63,0.8157894736842105
0.15,0.9,0.7431382142568357,0.20391904760457122,0.5902218235434331,0.6724738675958188,51,2.7664705882352942,141.09,0.6862745098039216
0.15,1.0,0.7431382142568357,0.20341404038555427,0.5897974026484386,0.6724738675958188,98,1.3322448979591837,130.56,0.47959183673469385
0.15,1.1,0.7431382142568357,0.2035046380530103,0.5908683613026864,0.6724738675958188,184,0.7108152173913045,130.79000000000002,0.3532608695652174
0.15,1.2,0.7431382142568357,0.2039944383093394,0.5928111259240775,0.6724738675958188,303,0.44260726072607265,134.11,0.31683168316831684
0.15,1.3,0.7431382142568357,0.2047468900883236,0.5952464474034391,0.6724738675958188,378,0.31595238095238093,119.42999999999999,0.30952380952380953
0.15,1.5,0.7431382142568357,0.20668874827083544,0.6007446463921968,0.6724738675958188,460,0.2530869565217392,116.42000000000002,0.3173913043478261
0.15,1.7,0.7431382142568357,0.2088675173660852,0.6063568008861454,0.6724738675958188,507,0.21449704142011836,108.75,0.31952662721893493
0.15,2.0,0.7431382142568357,0.2121289428706187,0.6142148442319685,0.6724738675958188,545,0.19592660550458715,106.78,0.3247706422018349
0.15,2.5,0.7431382142568357,0.2169704293071724,0.625200603471801,0.6724738675958188,578,0.19214532871972317,111.06,0.33391003460207613
0.15,3.0,0.7431382142568357,0.22092637244068494,0.6338056123317747,0.6724738675958188,591,0.18115059221658206,107.06,0.3333333333333333
0.2,0.5,0.7462684521631398,0.21742319654928705,0.6353239352597492,0.6713124274099884,605,0.02710743801652892,16.4,0.7388429752066116
0.2,0.6,0.7462684521631396,0.2104050954499751,0.6084292545517933,0.6713124274099884,336,0.2861607142857143,96.15,0.7529761904761905
0.2,0.7,0.7462684521631396,0.20609831684472124,0.5949478922694877,0.6713124274099884,77,1.8867532467532464,145.27999999999997,0.8051948051948052
0.2,0.8,0.7462684521631396,0.20365130358854133,0.5887137046271118,0.6713124274099884,61,2.5124590163934424,153.26,0.7049180327868853
0.2,0.9,0.7462684521631396,0.20246940984960463,0.5865586776382447,0.6713124274099884,79,1.8358227848101265,145.03,0.5822784810126582
0.2,1.0,0.7462684521631396,0.20214187853500443,0.5867492580857595,0.6713124274099884,121,1.0390082644628098,125.72,0.4214876033057851
0.2,1.1,0.7462684521631396,0.20238607087832167,0.5882947589191571,0.6713124274099884,202,0.6478217821782177,130.85999999999999,0.35148514851485146
0.2,1.2,0.7462684521631396,0.20300760261186757,0.5906107476906892,0.6713124274099884,325,0.4408307692307692,143.26999999999998,0.3323076923076923
0.2,1.3,0.7462684521631396,0.20387267264394043,0.5933445140655751,0.6713124274099884,385,0.3236103896103896,124.59,0.3168831168831169
0.2,1.5,0.7462684521631396,0.20599334567086583,0.5992838562719821,0.6713124274099884,476,0.2515546218487395,119.74000000000001,0.3235294117647059
0.2,1.7,0.7462684521631396,0.20830431473317934,0.6052003693982564,0.6713124274099884,514,0.20103112840466927,103.33000000000001,0.31712062256809337
0.2,2.0,0.7462684521631396,0.21170555502922628,0.6133635025864156,0.6713124274099884,547,0.19957952468007312,109.17,0.3272394881170018
0.2,2.5,0.7462684521631396,0.21668858894058837,0.6246434504041541,0.6713124274099884,577,0.1901906412478336,109.74,0.3327556325823224
0.2,3.0,0.7462684521631396,0.22072592493830223,0.6334121417858872,0.6713124274099884,589,0.18891341256366723,111.27,0.3361629881154499
0.25,0.5,0.7491862614899878,0.21511382435532986,0.6272538823986645,0.6724738675958188,601,0.14159733777038272,85.10000000000001,0.7337770382695508
0.25,0.6,0.7491862614899878,0.20836767122147898,0.6023630328050148,0.6724738675958188,368,0.39307065217391307,144.65,0.7472826086956522
0.25,0.7,0.7491862614899878,0.20433080202938778,0.5902335585750513,0.6724738675958188,133,1.2183458646616543,162.04000000000002,0.7518796992481203
0.25,0.8,0.7491862614899878,0.20212653592764707,0.5849520490162775,0.6724738675958188,87,1.7102298850574715,148.79000000000002,0.6091954022988506
0.25,0.9,0.7491862614899878,0.20115381556435685,0.5834919517694476,0.6724738675958188,105,1.3067619047619048,137.21,0.5047619047619047
0.25,1.0,0.7491862614899878,0.2010030980509988,0.5842038875758128,0.6724738675958188,145,0.8888275862068965,128.88,0.4206896551724138
0.25,1.1,0.7491862614899878,0.2013956168615396,0.5861498164905251,0.6724738675958188,229,0.5598689956331877,128.20999999999998,0.34934497816593885
0.25,1.2,0.7491862614899878,0.20214139870507788,0.5887795688087323,0.6724738675958188,332,0.4556927710843373,151.29,0.3433734939759036
0.25,1.3,0.7491862614899878,0.20311075729022654,0.591763475710273,0.6724738675958188,394,0.30116751269035535,118.66000000000001,0.3147208121827411
0.25,1.5,0.7491862614899878,0.20539371594232664,0.5980713096446437,0.6724738675958188,481,0.2420997920997921,116.45,0.32224532224532226
0.25,1.7,0.7491862614899878,0.20782227777920925,0.604241185038908,0.6724738675958188,514,0.20490272373540858,105.32000000000001,0.31906614785992216
0.25,2.0,0.7491862614899878,0.21134584465728962,0.6126575930112114,0.6724738675958188,543,0.2030755064456722,110.27000000000001,0.3278084714548803
0.25,2.5,0.7491862614899878,0.21645071438917568,0.6241811654209346,0.6724738675958188,576,0.18802083333333333,108.3,0.3315972222222222
0.25,3.0,0.7491862614899878,0.22055724431751308,0.6330852119192799,0.6724738675958188,591,0.1884771573604061,111.39,0.33671742808798644
0.3,0.5,0.751831339930954,0.21283144971408768,0.6204215665109032,0.673054587688734,618,0.19697411003236248,121.73000000000002,0.7216828478964401
0.3,0.6,0.751831339930954,0.20643183372081458,0.5972594831532827,0.673054587688734,406,0.3533497536945813,143.46,0.7192118226600985
0.3,0.7,0.751831339930954,0.2026970779888979,0.5862848654274253,0.673054587688734,187,0.8049197860962566,150.51999999999998,0.6737967914438503
0.3,0.8,0.751831339930954,0.20074494586762928,0.5818107628542286,0.673054587688734,101,1.4746534653465349,148.94000000000003,0.594059405940594
0.3,0.9,0.751831339930954,0.19997922769466878,0.5809361002070397,0.673054587688734,122,1.098114754098361,133.97000000000003,0.47540983606557374
0.3,1.0,0.751831339930954,0.19999769893353728,0.5820852170821423,0.673054587688734,176,0.7197727272727273,126.68,0.4034090909090909
0.3,1.1,0.751831339930954,0.20052869388338537,0.5843657165014462,0.673054587688734,258,0.530968992248062,136.99,0.3643410852713178
0.3,1.2,0.751831339930954,0.2013883217589391,0.5872568907041918,0.673054587688734,343,0.4550145772594752,156.07,0.35276967930029157
0.3,1.3,0.751831339930954,0.20245184621788134,0.5904487509211932,0.673054587688734,408,0.30860294117647064,125.91000000000001,0.32598039215686275
0.3,1.5,0.751831339930954,0.20487900235276035,0.5970622197532829,0.673054587688734,489,0.24881390593047034,121.67,0.3292433537832311
0.3,1.7,0.751831339930954,0.20741039034597192,0.6034418014419474,0.673054587688734,512,0.21427734375000002,109.71000000000001,0.322265625
0.3,2.0,0.751831339930954,0.21103954513263873,0.6120675858711027,0.673054587688734,543,0.2030755064456722,110.27000000000001,0.3278084714548803
0.3,2.5,0.751831339930954,0.21624830083917138,0.6237925156103299,0.673054587688734,575,0.18203478260869563,104.66999999999999,0.32869565217391306
0.3,3.0,0.751831339930954,0.22041334562133547,0.6328085921377755,0.673054587688734,593,0.19527824620573356,115.8,0.3406408094435076
0.35,0.5,0.7543928174471017,0.21065383592096001,0.6147458096392894,0.6707317073170732,619,0.2161550888529887,133.8,0.7189014539579968
0.35,0.6,0.7543928174471017,0.2046482833791551,0.5930377396641551,0.6707317073170732,420,0.35245238095238096,148.03,0.7119047619047619
0.35,0.7,0.7543928174471017,0.20122669596911472,0.5830267294573118,0.6707317073170732,230,0.63,144.9,0.6608695652173913
0.35,0.8,0.7543928174471017,0.19952170285181026,0.5792222520279371,0.6707317073170732,139,1.026906474820144,142.74,0.539568345323741
0.35,0.9,0.7543928174471017,0.1989515168203432,0.5788309335670351,0.6707317073170732,156,0.8584615384615386,133.92000000000002,0.4551282051282051
0.35,1.0,0.7543928174471017,0.19912568118261997,0.5803397637102312,0.6707317073170732,198,0.6366666666666667,126.06,0.3939393939393939
0.35,1.1,0.7543928174471017,0.19978166177455522,0.5828948390807567,0.6707317073170732,275,0.5420727272727273,149.07,0.37454545454545457
0.35,1.2,0.7543928174471017,0.20074252601019382,0.5860001458751376,0.6707317073170732,350,0.4657714285714286,163.02,0.3628571428571429
0.35,1.3,0.7543928174471017,0.20188880861593564,0.5893621058939793,0.6707317073170732,414,0.3464975845410628,143.45,0.34541062801932365
0.35,1.5,0.7543928174471017,0.20444106452102284,0.5962252705407985,0.6707317073170732,489,0.25969325153374234,126.99000000000001,0.33537832310838445
0.35,1.7,0.7543928174471017,0.20706051827091373,0.6027760670332631,0.6707317073170732,518,0.21156370656370657,109.59,0.32432432432432434
0.35,2.0,0.7543928174471017,0.21077918963225084,0.6115728796985378,0.6707317073170732,547,0.19749542961608776,108.03,0.3272394881170018
0.35,2.5,0.7543928174471017,0.21607525018232904,0.6234626951648126,0.6707317073170732,577,0.18487001733102254,106.67,0.3310225303292894
0.35,3.0,0.7543928174471017,0.22028925832743096,0.6325709623630968,0.6707317073170732,593,0.19866779089376055,117.81,0.342327150084317
0.4,0.5,0.7562923400995263,0.20866820190875254,0.6101720153306756,0.6695702671312428,632,0.21681962025316456,137.03,0.7104430379746836
0.4,0.6,0.7562923400995262,0.2030669541499634,0.5896406246707767,0.6695702671312428,449,0.3410913140311804,153.15,0.7082405345211581
0.4,0.7,0.7562923400995262,0.1999465598318906,0.5804047634021161,0.6695702671312428,275,0.5528363636363637,152.03,0.6509090909090909
0.4,0.8,0.7562923400995262,0.19846992817734557,0.577137382254604,0.6695702671312428,181,0.7940331491712707,143.72,0.5469613259668509
0.4,0.9,0.7562923400995262,0.19807558486597412,0.577132675834934,0.6695702671312428,186,0.7560752688172043,140.63,0.46236559139784944
0.4,1.0,0.7562923400995262,0.19838704479824676,0.5789286384012704,0.6695702671312428,219,0.5978538812785389,130.93,0.4018264840182648
0.4,1.1,0.7562923400995262,0.1991516119563383,0.5817025699953516,0.6695702671312428,294,0.529795918367347,155.76,0.3843537414965986
0.4,1.2,0.7562923400995262,0.20019940644450046,0.5849783991380243,0.6695702671312428,358,0.4472905027932961,160.13,0.3687150837988827
0.4,1.3,0.7562923400995262,0.20141608853716514,0.588475755756508,0.6695702671312428,418,0.3496172248803827,146.14,0.3492822966507177
