canonical_match_id,golgg_match_id,result_source_match_id,mapping_confidence,mapped_by,team_a_name,team_b_name,league,winner_side,start_time_normalized,status,market_open_p_a_novig,market_open_p_a_raw,market_open_avg_margin,market_open_books,market_open_earliest_at,market_open_latest_at,market_mid_p_a_novig,market_mid_p_a_raw,market_mid_avg_margin,market_mid_books,market_mid_earliest_at,market_mid_latest_at,market_close_p_a_novig,market_close_p_a_raw,market_close_avg_margin,market_close_books,market_close_earliest_at,market_close_latest_at,date,feature_cutoff_date,team1_id,team2_id,team1_name,team2_name,best_of,n_games,expected_games,imputed_rating_games,game_coverage_consistent,source_outcome_complete,outcome_source,y_team1,team1_history_matches,team2_history_matches,all_players_seen_before,historical_feature_proxy_eligible,exp039_original_prob_team1,exp039_swapped_prob_team1,exp039_symmetric_prob_team1,exp039_calibrated_prob_team1,exp039_parity_v2_prob_team1,mapping_unique,mapping_source_consistent,identity_resolved,canonical_a_is_golgg_team1,mapping_date_gap_days,mapping_date_eligible,market_quotes_strictly_prestart,source_outcome_resolved,y_team_a,source_y_team_a,canonical_outcome_consistent,canonical_outcome_conflict,mapping_eligible,historical_proxy_eligible,exp039_symmetric_prob_team_a,exp039_legacy_prob_team_a,exp039_parity_v2_prob_team_a,exp039_prob_team_a,exclusion_reasons
114564,80198,80198,1.0,auto-fuzzy,JD Gaming,Team WE,TJ Sports LoL / LPL,team_b,2026-07-24T09:00:00+00:00,finished,0.6932514647778424,0.7539972518329091,0.0876354045030429,6.0,2026-07-20T20:55:03+00:00,2026-07-23T18:56:17+00:00,0.7005931111137961,0.761894274655305,0.08759591938893092,6.0,2026-07-23T10:55:15+00:00,2026-07-24T00:55:47+00:00,0.6980474001135527,0.7570272482553184,0.08453818366849963,6.0,2026-07-23T20:56:11+00:00,2026-07-24T08:55:45+00:00,2026-07-24,2026-07-23,2856,2851,Team WE,JD Gaming,3,3,3.0,0,True,True,golgg_winner_name,1.0,20,20,True,True,0.32955419775587647,0.7112925804576452,0.30913080864911563,0.3050944552078185,0.28884480770321647,True,True,True,False,0,True,True,True,0,0.0,True,False,True,True,0.6908691913508844,0.6949055447921815,0.7111551922967836,0.7111551922967836,
114562,79982,79982,1.0,auto-fuzzy,GIANTX Academy,Movistar KOI Fenix,LES,team_b,2026-07-21T17:30:00+00:00,finished,0.20212765957446804,0.2222222222222222,0.09941520467836273,1.0,2026-07-20T20:55:06+00:00,2026-07-20T20:55:06+00:00,0.20212765957446804,0.2222222222222222,0.09941520467836273,1.0,2026-07-20T20:55:06+00:00,2026-07-20T20:55:06+00:00,0.18791946308724833,0.2066115702479339,0.09946871310507666,1.0,2026-07-20T22:55:06+00:00,2026-07-20T22:55:06+00:00,2026-07-21,2026-07-20,2995,2992,Movistar KOI Fenix,GIANTX iTero,3,2,2.0,0,True,True,golgg_winner_name,1.0,20,20,True,True,0.7612988117559978,0.30859202882462883,0.7263533914656845,0.7639574895921212,0.7490906480191943,True,True,True,False,0,True,True,True,0,0.0,True,False,True,True,0.27364660853431555,0.23604251040787882,0.25090935198080566,0.25090935198080566,
114547,80171,80171,1.0,auto-fuzzy,G2 Nord,Orange Gaming,Riot LoL / Prime League,team_a,2026-07-22T15:00:00+00:00,finished,0.7998083667846365,0.8672418574768286,0.08428671737883131,3.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:25+00:00,0.7998083667846365,0.8672418574768286,0.08428671737883131,3.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:25+00:00,0.7998083667846365,0.8672418574768286,0.08428671737883131,3.0,2026-07-20T22:55:03+00:00,2026-07-20T22:55:25+00:00,2026-07-22,2026-07-21,2972,2969,TeamOrangeGaming,G2 NORD,3,2,2.0,0,True,True,golgg_winner_name,0.0,20,20,True,True,0.22738988091915588,0.8056705655281079,0.210859657695524,0.19755646670890234,0.18560313905671855,True,True,False,,0,True,True,True,1,1.0,False,False,False,False,0.789140342304476,0.8024435332910976,0.8143968609432815,0.8143968609432815,identity_unresolved
114526,79988,79988,1.0,auto-fuzzy,Barca eSports,UCAM Tokiers,Lastlap / LES,team_b,2026-07-22T17:30:00+00:00,finished,0.43240463973534843,0.46966147772599387,0.08620702118818407,4.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:25+00:00,0.43240463973534843,0.46966147772599387,0.08620702118818407,4.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:25+00:00,0.43240463973534843,0.46966147772599387,0.08620702118818407,4.0,2026-07-20T22:55:03+00:00,2026-07-20T22:55:25+00:00,2026-07-22,2026-07-21,2990,2997,Barca eSports,UCAM Esports,3,2,2.0,0,True,True,golgg_winner_name,0.0,20,20,True,True,0.2282647927308532,0.7961630195439701,0.21605088659344157,0.20311431182804804,0.19089958384507577,True,True,False,,0,True,True,True,0,1.0,False,False,False,False,0.7839491134065584,0.7968856881719519,0.8091004161549242,0.8091004161549242,identity_unresolved
114524,79997,79997,1.0,auto-fuzzy,mCon esports,Once Upon A Team,GameWaves / Road of Legends,team_a,2026-07-21T17:00:00+00:00,finished,0.6038921610298136,0.6557447540419676,0.08587018416739789,2.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:16+00:00,0.6038921610298136,0.6557447540419676,0.08587018416739789,2.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:16+00:00,0.6038921610298136,0.6557447540419676,0.08587018416739789,2.0,2026-07-20T22:55:03+00:00,2026-07-20T22:55:15+00:00,2026-07-21,2026-07-20,2844,2842,Once Upon A Team,mCon esports,3,2,2.0,0,True,True,golgg_winner_name,0.0,20,20,True,True,0.26293700333947234,0.7853991390600287,0.23876893213972183,0.2276263844551401,0.21430936661074582,True,True,True,False,0,True,True,True,1,1.0,True,False,True,True,0.7612310678602782,0.77237361554486,0.7856906333892542,0.7856906333892542,
114566,80009,80009,1.0,auto-fuzzy,Ccg Esports,NRG eSports,NACL,team_b,2026-07-22T21:00:00+00:00,finished,0.21384955727154162,0.2333702637343189,0.0912248069045964,5.0,2026-07-20T20:55:08+00:00,2026-07-20T20:56:16+00:00,0.21384955727154162,0.2333702637343189,0.0912248069045964,5.0,2026-07-20T20:55:08+00:00,2026-07-20T20:56:16+00:00,0.21384955727154162,0.2333702637343189,0.0912248069045964,5.0,2026-07-20T22:55:07+00:00,2026-07-20T22:56:17+00:00,2026-07-22,2026-07-21,3047,3052,CCG Esports,NRG,3,2,2.0,0,True,True,golgg_winner_name,0.0,20,20,True,True,0.492521644748827,0.6047659848725405,0.44387782993814323,0.45666409914820627,0.43719442688091253,True,True,True,True,0,True,True,True,0,0.0,True,False,True,True,0.44387782993814323,0.45666409914820627,0.43719442688091253,0.43719442688091253,
114573,80120,80120,1.0,auto-fuzzy,Red Academy,INTZ eSports,Circuito Desafiante,team_b,2026-07-21T20:00:00+00:00,finished,0.18162393162393164,0.19647306881349436,0.08170612795959697,2.0,2026-07-20T20:55:16+00:00,2026-07-20T20:55:25+00:00,0.18162393162393164,0.19647306881349436,0.08170612795959697,2.0,2026-07-20T20:55:16+00:00,2026-07-20T20:55:25+00:00,0.18162393162393164,0.19647306881349436,0.08170612795959697,2.0,2026-07-20T22:55:15+00:00,2026-07-20T22:55:25+00:00,2026-07-21,2026-07-20,3060,3057,RED Academy,INTZ,1,1,1.0,0,True,True,golgg_winner_name,0.0,15,20,True,True,0.14767396616236134,0.8947730263482894,0.12645046990703598,0.11013108747001153,0.10283767647181291,True,True,True,True,0,True,True,True,0,0.0,True,False,True,True,0.12645046990703598,0.11013108747001153,0.10283767647181291,0.10283767647181291,
114538,80121,80121,1.0,auto-fuzzy,Pain Academy,Rmd Gaming,Riot LoL / Circuito Desafiante,team_a,2026-07-21T21:00:00+00:00,finished,0.6609557025744284,0.7220310707955375,0.09240144116590787,2.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:16+00:00,0.6609557025744284,0.7220310707955375,0.09240144116590787,2.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:16+00:00,0.6609557025744284,0.7220310707955375,0.09240144116590787,2.0,2026-07-20T22:55:03+00:00,2026-07-20T22:55:15+00:00,2026-07-21,2026-07-20,3063,3059,RMD Gaming,paiN Gaming Academy,1,1,1.0,0,True,True,golgg_winner_name,0.0,16,20,True,True,0.3249932573110927,0.7340296651496955,0.2954817960806986,0.2899197774531561,0.27417777190365566,True,True,True,False,0,True,True,True,1,1.0,True,False,True,True,0.7045182039193014,0.7100802225468439,0.7258222280963443,0.7258222280963443,
114537,80145,80145,1.0,auto-fuzzy,KT Rolster,Dplus KIA,KeSPA Cup,team_a,2026-07-21T08:15:00+00:00,finished,0.4858473776094859,0.5277219239203288,0.08604366588794171,4.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:25+00:00,0.4858473776094859,0.5277219239203288,0.08604366588794171,4.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:25+00:00,0.511582323592302,0.5565002320745789,0.08769351535082964,4.0,2026-07-20T22:55:03+00:00,2026-07-20T22:55:25+00:00,2026-07-21,2026-07-20,2802,2806,Dplus KIA,KT Rolster,1,1,1.0,0,True,True,golgg_winner_name,0.0,20,20,False,False,0.27297599545663614,0.8081985922115854,0.23238870162252537,0.2207126794866756,0.20769818755791425,True,True,True,False,0,True,True,True,1,1.0,True,False,True,False,0.7676112983774747,0.7792873205133244,0.7923018124420858,0.7923018124420858,historical_feature_proxy_ineligible
114534,80147,80147,1.0,auto-fuzzy,Hanwha Life,Nongshim Redforce,KeSPA LoL / KeSPA Cup,team_a,2026-07-21T09:45:00+00:00,finished,0.4996187559784737,0.5429162439516192,0.08676539660865668,4.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:25+00:00,0.4996187559784737,0.5429162439516192,0.08676539660865668,4.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:25+00:00,0.47696013278413035,0.5182957382422093,0.0867023499017609,4.0,2026-07-20T22:55:03+00:00,2026-07-20T22:55:25+00:00,2026-07-21,2026-07-20,2807,2805,Nongshim RedForce,Hanwha Life Esports,1,1,1.0,0,True,True,golgg_winner_name,0.0,20,20,True,True,0.8738094305709231,0.16958331596360093,0.852113057303661,0.8853560125765686,0.8768169528127149,True,True,True,False,0,True,True,True,1,1.0,True,False,True,True,0.14788694269633895,0.1146439874234314,0.12318304718728512,0.12318304718728512,
114531,80183,80183,1.0,auto-fuzzy,LGD Gaming,Edward Gaming,TJ Sports LoL / LPL,team_a,2026-07-22T09:00:00+00:00,finished,0.44195499002860567,0.47980810214327607,0.08559001971991442,6.0,2026-07-20T20:55:03+00:00,2026-07-20T20:56:15+00:00,0.44195499002860567,0.47980810214327607,0.08559001971991442,6.0,2026-07-20T20:55:03+00:00,2026-07-20T20:56:15+00:00,0.44195499002860567,0.47980810214327607,0.08559001971991442,6.0,2026-07-20T22:55:03+00:00,2026-07-20T22:56:13+00:00,2026-07-22,2026-07-21,2854,2858,EDward Gaming,LGD Gaming,3,2,2.0,0,True,True,golgg_winner_name,0.0,20,20,True,True,0.56007197505617,0.5112658418998102,0.5244030665781799,0.5470558174918309,0.5273327437066466,True,True,True,False,0,True,True,True,1,1.0,True,False,True,True,0.4755969334218201,0.45294418250816915,0.4726672562933534,0.4726672562933534,
114561,80186,80186,1.0,auto-fuzzy,TOP Esports,Team WE,TJ Sports LoL / LPL,team_a,2026-07-22T11:00:00+00:00,finished,0.6701158977945665,0.7291549030679467,0.08823682819271834,5.0,2026-07-20T20:55:03+00:00,2026-07-20T20:56:15+00:00,0.6701158977945665,0.7291549030679467,0.08823682819271834,5.0,2026-07-20T20:55:03+00:00,2026-07-20T20:56:15+00:00,0.6701158977945665,0.7291549030679467,0.08823682819271834,5.0,2026-07-20T22:55:03+00:00,2026-07-20T22:56:13+00:00,2026-07-22,2026-07-21,2852,2856,Top Esports,Team WE,3,2,2.0,0,True,True,golgg_winner_name,1.0,20,20,True,True,0.7216135848212678,0.3299201982051447,0.6958466933080616,0.7325823242654825,0.7165142119874943,True,True,True,True,0,True,True,True,1,1.0,True,False,True,True,0.6958466933080616,0.7325823242654825,0.7165142119874943,0.7165142119874943,
114529,80003,80003,1.0,auto-fuzzy,Myth eSports,Dynasty,GameWaves / Road of Legends,team_a,2026-07-23T17:00:00+00:00,finished,0.6038921610298136,0.6557447540419676,0.08587018416739789,2.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:16+00:00,0.6062216852914527,0.6579232134354847,0.08527364078591204,2.0,2026-07-20T20:55:03+00:00,2026-07-23T06:55:16+00:00,0.6148255813953488,0.6669334400426837,0.08469028637095866,2.0,2026-07-20T22:55:03+00:00,2026-07-23T16:55:15+00:00,2026-07-23,2026-07-22,2843,2840,Myth Esports,Dynasty,3,3,3.0,0,True,True,golgg_winner_name,1.0,20,20,True,True,0.831871088570103,0.20174548684219143,0.8150628008639558,0.8511219438876546,0.8405228458774718,True,True,True,True,0,True,True,True,1,1.0,True,False,True,True,0.8150628008639558,0.8511219438876546,0.8405228458774718,0.8405228458774718,
114546,80216,80216,1.0,auto-fuzzy,Edward Gaming,ThunderTalk Gaming,TJ Sports LoL / LPL,team_b,2026-07-26T09:00:00+00:00,finished,0.5535861383824217,0.6021506603551314,0.0876682789372662,4.0,2026-07-20T20:55:03+00:00,2026-07-20T20:55:25+00:00,0.5407500728086512,0.5884314827740968,0.08827540684081886,4.0,2026-07-23T18:55:15+00:00,2026-07-23T20:55:37+00:00,0.549677447939743,0.5981413831890885,0.08829112538576217,4.0,2026-07-24T20:55:04+00:00,2026-07-24T20:55:42+00:00,2026-07-26,2026-07-25,2854,2857,EDward Gaming,ThunderTalk Gaming,3,2,2.0,0,True,True,golgg_winner_name,0.0,20,20,True,True,0.5038045046953247,0.5510709649532555,0.4763667698710346,0.4932559330141897,0.47352918391377496,True,True,True,True,0,True,True,True,0,0.0,True,False,True,True,0.4763667698710346,0.4932559330141897,0.47352918391377496,0.47352918391377496,
114541,80012,80012,0.97,auto-fuzzy,Contingent eSports,Ole Miss eSports,Riot LoL / NACL,team_a,2026-07-23T00:00:00+00:00,finished,0.25020444400827896,0.27280568239472347,0.0902564798535177,3.0,2026-07-20T20:55:03+00:00,2026-07-20T22:56:13+00:00,0.25020444400827896,0.27280568239472347,0.0902564798535177,3.0,2026-07-20T20:55:03+00:00,2026-07-20T22:56:13+00:00,0.25020444400827896,0.27280568239472347,0.0902564798535177,3.0,2026-07-20T22:55:03+00:00,2026-07-20T22:56:13+00:00,2026-07-22,2026-07-21,3101,3099,Contingent Esports,Ole Miss,3,3,3.0,0,True,True,golgg_winner_name,1.0,0,2,False,False,0.1397531560003713,0.9104271775210222,0.11466298923967455,0.09847926731946358,0.0918835396160564,True,True,True,True,1,True,True,True,1,1.0,True,False,True,False,0.11466298923967455,0.09847926731946358,0.0918835396160564,0.0918835396160564,historical_feature_proxy_ineligible
114554,80201,80201,1.0,auto-fuzzy,Bilibili Gaming,Edward Gaming,TJ Sports LoL / LPL,team_a,2026-07-24T11:00:00+00:00,finished,0.8680677176040787,0.943219154852818,0.08669036925924734,6.0,2026-07-20T20:55:03+00:00,2026-07-24T08:55:45+00:00,0.8472041171757718,0.9209033569021395,0.08714254290952421,6.0,2026-07-23T14:55:03+00:00,2026-07-24T08:55:45+00:00,0.8374879748636087,0.9081890331890333,0.0845282541316665,6.0,2026-07-23T20:56:11+00:00,2026-07-24T10:56:00+00:00,2026-07-24,2026-07-23,2849,2854,Bilibili Gaming,EDward Gaming,3,3,3.0,0,True,True,golgg_winner_name,1.0,20,20,True,True,0.8697545434696257,0.16703523193976547,0.8513596557649301,0.8846747990182375,0.8760925931064996,True,True,True,True,0,True,True,True,1,1.0,True,False,True,True,0.8513596557649301,0.8846747990182375,0.8760925931064996,0.8760925931064996,
114559,79985,79985,1.0,auto-fuzzy,Universitat de Barcelona,FALKE,LES,team_a,2026-07-22T15:00:00+00:00,finished,0.3333439348678005,0.36338111305207904,0.08988339279609352,3.0,2026-07-20T20:55:06+00:00,2026-07-20T20:55:25+00:00,0.3333439348678005,0.36338111305207904,0.08988339279609352,3.0,2026-07-20T20:55:06+00:00,2026-07-20T20:55:25+00:00,0.3333439348678005,0.36338111305207904,0.08988339279609352,3.0,2026-07-20T22:55:06+00:00,2026-07-20T22:55:25+00:00,2026-07-22,2026-07-21,2996,2991,UB Alma Mater,Falke Esports,3,2,2.0,0,True,True,golgg_winner_name,1.0,20,20,True,True,0.1694222114899327,0.814215060625797,0.17760357543206787,0.16239192259548357,0.15218977944900922,True,True,True,True,0,True,True,True,1,1.0,True,False,True,True,0.17760357543206787,0.16239192259548357,0.15218977944900922,0.15218977944900922,
