market_reference,alpha,n,logloss,brier,auc,accuracy,mean_prob,target_rate
mid,0.71,408,0.5653342566182536,0.19263318010556219,0.7786676286676286,0.6862745098039216,0.5185389710479433,0.5147058823529411
mid,0.72,408,0.565895377015166,0.19283725278359395,0.7782587782587782,0.6862745098039216,0.5185474799510078,0.5147058823529411
mid,0.73,408,0.5664827205371616,0.19304863644402281,0.7779461279461279,0.6862745098039216,0.5185559888540723,0.5147058823529411
mid,0.74,408,0.5670969675936418,0.1932673310868487,0.7775613275613276,0.6862745098039216,0.5185644977571368,0.5147058823529411
mid,0.75,408,0.5677388454289025,0.19349333671207172,0.777080327080327,0.6838235294117647,0.5185730066602013,0.5147058823529411
mid,0.76,408,0.5684091323534007,0.1937266533196918,0.7767676767676768,0.6838235294117647,0.5185815155632657,0.5147058823529411
mid,0.77,408,0.5691086625205326,0.193967280909709,0.7762145262145262,0.6813725490196079,0.5185900244663302,0.5147058823529411
mid,0.78,408,0.5698383313374455,0.1942152194821232,0.7761904761904762,0.6813725490196079,0.5185985333693948,0.5147058823529411
mid,0.79,408,0.5705991016162795,0.19447046903693452,0.7757816257816258,0.6813725490196079,0.5186070422724592,0.5147058823529411
mid,0.8,408,0.571392010594441,0.1947330295741429,0.7753487253487252,0.6813725490196079,0.5186155511755237,0.5147058823529411
mid,0.81,408,0.5722181779803288,0.19500290109374843,0.7748677248677248,0.6838235294117647,0.5186240600785882,0.5147058823529411
mid,0.82,408,0.5730788152159983,0.19528008359575097,0.7743867243867245,0.6813725490196079,0.5186325689816527,0.5147058823529411
mid,0.83,408,0.5739752361928563,0.1955645770801506,0.7739297739297739,0.6813725490196079,0.5186410778847171,0.5147058823529411
mid,0.84,408,0.5749088697136852,0.19585638154694732,0.7735930735930736,0.6813725490196079,0.5186495867877816,0.5147058823529411
mid,0.85,408,0.5758812740683762,0.19615549699614113,0.7732563732563733,0.6813725490196079,0.5186580956908461,0.5147058823529411
mid,0.86,408,0.5768941541876377,0.196461923427732,0.7726551226551227,0.6862745098039216,0.5186666045939107,0.5147058823529411
mid,0.87,408,0.5779493819670883,0.19677566084171993,0.7722222222222223,0.6862745098039216,0.518675113496975,0.5147058823529411
mid,0.88,408,0.579049020525634,0.197096709238105,0.7718133718133718,0.6862745098039216,0.5186836224000396,0.5147058823529411
mid,0.89,408,0.580195353394568,0.1974250686168871,0.7714766714766715,0.6838235294117647,0.5186921313031041,0.5147058823529411
mid,0.9,408,0.5813909199536786,0.1977607389780663,0.7709956709956709,0.6838235294117647,0.5187006402061686,0.5147058823529411
mid,0.91,408,0.5826385588775692,0.19810372032164258,0.7707792207792208,0.6813725490196079,0.518709149109233,0.5147058823529411
mid,0.92,408,0.5839414619908199,0.19845401264761592,0.7704906204906206,0.6862745098039216,0.5187176580122975,0.5147058823529411
mid,0.93,408,0.5853032418517004,0.19881161595598634,0.7699855699855701,0.6887254901960784,0.5187261669153621,0.5147058823529411
mid,0.94,408,0.5867280177484022,0.19917653024675386,0.7692400192400193,0.6887254901960784,0.5187346758184265,0.5147058823529411
mid,0.95,408,0.5882205268620534,0.19954875551991844,0.7687109187109187,0.6911764705882353,0.5187431847214911,0.5147058823529411
mid,0.96,408,0.5897862705798615,0.1999282917754801,0.7682780182780183,0.6887254901960784,0.5187516936245555,0.5147058823529411
mid,0.97,408,0.5914317111381415,0.2003151390134389,0.7675324675324675,0.6887254901960784,0.51876020252762,0.5147058823529411
mid,0.98,408,0.5931645424433148,0.2007092972337947,0.7668831168831168,0.6887254901960784,0.5187687114306845,0.5147058823529411
mid,0.99,408,0.5949940739949403,0.2011107664365476,0.7659451659451659,0.6887254901960784,0.5187772203337491,0.5147058823529411
mid,1.0,408,0.596931794371762,0.20151954662169763,0.7653679653679653,0.6887254901960784,0.5187857292368134,0.5147058823529411
close,0.0,408,0.5658962516856435,0.1920470284584282,0.777056277056277,0.7132352941176471,0.5168050689400588,0.5147058823529411
close,0.01,408,0.5651797729808138,0.19182593555655264,0.7777537277537278,0.7107843137254902,0.5168248755430264,0.5147058823529411
close,0.02,408,0.5645002263551474,0.19161122281798024,0.7778499278499278,0.7083333333333334,0.5168446821459939,0.5147058823529411
close,0.03,408,0.5638546508003602,0.19140289024271107,0.7782828282828284,0.7083333333333334,0.5168644887489614,0.5147058823529411
close,0.04,408,0.5632405926701552,0.19120093783074504,0.7787397787397787,0.7058823529411765,0.5168842953519289,0.5147058823529411
close,0.05,408,0.5626559936121163,0.19100536558208225,0.7790283790283791,0.7058823529411765,0.5169041019548966,0.5147058823529411
close,0.06,408,0.5620991084331394,0.19081617349672267,0.7793891293891293,0.7058823529411765,0.516923908557864,0.5147058823529411
close,0.07,408,0.5615684437125243,0.1906333615746663,0.7799182299182299,0.7034313725490197,0.5169437151608315,0.5147058823529411
close,0.08,408,0.5610627111238881,0.19045692981591308,0.7805916305916307,0.7009803921568627,0.5169635217637992,0.5147058823529411
close,0.09,408,0.5605807913944791,0.19028687822046306,0.7806637806637807,0.7009803921568627,0.5169833283667667,0.5147058823529411
close,0.1,408,0.5601217060949865,0.1901232067883163,0.7811928811928812,0.7034313725490197,0.5170031349697343,0.5147058823529411
close,0.11,408,0.5596845952858728,0.18996591551947262,0.7816738816738817,0.7034313725490197,0.5170229415727018,0.5147058823529411
